devId,month,sold,terminated,amount_m
3625,2019-03,5.0,0.0,69.2
3625,2019-04,9.0,0.0,121.2
3625,2019-05,8.0,1.0,95.5
3625,2019-06,5.0,0.0,53.4
3625,2019-07,3.0,0.0,43.5
3625,2019-09,1.0,1.0,12.7
3625,2019-10,4.0,0.0,68.8
3625,2019-11,1.0,0.0,33.0
3625,2020-01,3.0,0.0,90.9
3625,2020-03,1.0,0.0,10.4
3625,2020-05,2.0,0.0,58.5
3625,2020-06,3.0,0.0,65.6
3625,2020-07,3.0,0.0,71.4
3625,2020-08,0.0,1.0,0.0
3625,2020-11,2.0,0.0,20.6
3625,2021-04,1.0,0.0,54.1
3625,2021-10,1.0,0.0,14.0
3625,2022-03,0.0,1.0,0.0
3625,2025-09,1.0,1.0,8.7
3625,2025-10,1.0,0.0,9.4
3625,2026-01,1.0,0.0,6.9
3625,2026-02,1.0,0.0,6.1
3705,2016-09,24.0,0.0,96.5
3705,2016-10,8.0,0.0,31.7
3705,2016-12,1.0,0.0,4.2
3705,2017-02,1.0,0.0,4.1
3705,2017-04,12.0,0.0,51.5
3705,2017-05,20.0,0.0,89.9
3705,2017-06,2.0,0.0,10.0
3705,2017-07,2.0,0.0,10.5
3705,2017-08,2.0,0.0,10.4
3705,2017-10,1.0,0.0,5.7
3705,2017-11,3.0,0.0,16.6
3705,2018-03,1.0,0.0,6.0
3705,2018-04,2.0,0.0,12.1
3705,2018-05,17.0,0.0,89.6
3705,2018-06,25.0,0.0,135.8
3705,2018-07,1.0,0.0,6.9
3705,2018-08,1.0,0.0,6.6
3705,2019-08,1.0,0.0,6.4
3705,2019-10,1.0,0.0,8.9
3705,2020-02,1.0,0.0,10.4
3705,2021-03,1.0,0.0,6.8
3725,2016-10,176.0,0.0,1588.0
3725,2017-02,1.0,0.0,9.0
3826,2018-01,11.0,0.0,212.3
3826,2018-02,3.0,0.0,68.8
3826,2018-09,3.0,0.0,62.5
3826,2018-10,0.0,1.0,0.0
3826,2018-11,1.0,0.0,94.4
3826,2018-12,1.0,0.0,19.0
3826,2019-01,1.0,0.0,20.7
3826,2019-02,2.0,0.0,68.9
3826,2019-03,4.0,0.0,95.8
3826,2019-04,12.0,0.0,356.6
3826,2019-05,2.0,0.0,105.8
3826,2019-06,2.0,0.0,63.5
3826,2019-07,1.0,0.0,18.1
3826,2019-08,1.0,0.0,17.7
3826,2020-02,1.0,0.0,19.9
3826,2020-06,5.0,0.0,105.5
3826,2020-07,2.0,0.0,46.4
3826,2021-02,1.0,0.0,20.2
3826,2021-03,1.0,0.0,19.2
3826,2021-05,1.0,0.0,19.7
3826,2021-06,1.0,0.0,20.4
3826,2021-07,2.0,0.0,90.5
3826,2021-08,1.0,0.0,19.2
3826,2021-11,1.0,0.0,17.4
3826,2021-12,1.0,0.0,31.8
3826,2022-05,1.0,0.0,23.8
3826,2025-07,12.0,0.0,183.6
3826,2025-08,3.0,0.0,35.7
3826,2025-10,1.0,1.0,64.2
3826,2025-11,1.0,0.0,11.8
3845,2017-03,1.0,0.0,0.0
3845,2018-01,1.0,0.0,0.0
3845,2018-03,1.0,0.0,0.0
3845,2018-10,0.0,1.0,0.0
3845,2018-12,1.0,0.0,0.0
3866,2016-11,53.0,0.0,232.3
3866,2016-12,23.0,0.0,122.5
3866,2017-01,8.0,0.0,47.9
3866,2017-02,8.0,0.0,51.1
3866,2017-03,1.0,0.0,7.5
3866,2018-08,0.0,1.0,0.0
3866,2018-10,1.0,0.0,6.7
